feature,pos,neg,neutral
AUTO mode,0,0,2
Pictures,0,0,2
shutter speed,0,0,3
software,0,0,6
movie,0,0,3
focus,0,0,21
Shutter,0,0,2
lower light,0,0,1
Image,0,0,2
resolution,0,0,7
video clips,0,0,2
quality pictures,0,0,2
Button,0,0,1
price,0,0,12
options,0,0,4
noise reduction,0,0,1
focal length,0,0,2
dSLR,0,0,3
pics,0,0,5
case,0,0,6
shutter button,0,0,1
lenses,0,0,1
zoom lens,0,0,1
AF,0,0,1
image sensor,0,0,2
Exposure,0,0,1
quality photos,0,0,2
size,0,0,22
exposure,0,0,4
light,0,0,15
wrist strap,0,0,1
shots,0,0,25
card,0,0,7
sensor size,0,0,1
flash,0,0,20
scene mode,0,0,2
auto focus,0,0,1
HD movie,0,0,1
battery charger,0,0,2
battery,0,0,26
pictures,0,0,50
price point,0,0,1
editing software,0,0,4
noise,0,0,4
macro mode,0,0,2
Shots,0,0,1
Menu,0,0,1
battery door,0,0,1
burst mode,0,0,1
video recording,0,0,2
wide angle,0,0,3
ISO,0,0,6
shutter,0,0,7
video quality,0,0,4
image stabilization,0,0,1
night shots,0,0,1
indoor shots,0,0,1
menu,0,0,4
angle lens,0,0,3
FEATURES,0,0,1
AUTOMATIC MODE,0,0,1
DSLR,0,0,6
dslr,0,0,1
manual control,0,0,1
sd card,0,0,1
lens cover,0,0,1
auto,0,0,6
iso,0,0,1
action shots,0,0,1
screen,0,0,5
body,0,0,7
photos,0,0,44
HD video,0,0,12
battery life,0,0,8
mode,0,0,13
features,0,0,14
view,0,0,2
HD MOVIE,0,0,1
Light,0,0,1
COLOR,0,0,1
Battery,0,0,2
function,0,0,1
Image Quality,0,0,1
light conditions,0,0,4
VIDEO mode,0,0,1
focus mode,0,0,1
shutter priority,0,0,1
menu system,0,0,3
Image Stabilization,0,0,2
build quality,0,0,3
Video mode,0,0,1
image,0,0,7
settings,0,0,8
higher resolution,0,0,1
Memory Card,0,0,1
view screen,0,0,1
LIGHT,0,0,2
Auto mode,0,0,4
video capability,0,0,2
LCD,0,0,4
image quality,0,0,12
AUTO,0,0,4
Focus,0,0,2
Video,0,0,2
sensor,0,0,11
touch screen,0,0,2
manual mode,0,0,2
Autofocus,0,0,1
HD VIDEO,0,0,1
quick shots,0,0,1
color,0,0,10
ZOOM LENS,0,0,1
Optical zoom,0,0,1
video,0,0,60
lens,0,0,40
button,0,0,6
Auto,0,0,3
Function,0,0,1
outdoor shots,0,0,1
program mode,0,0,2
Zoom,0,0,2
control ring,0,0,1
viewfinder,0,0,1
memory card,0,0,6
SD card,0,0,4
hd video,0,0,1
light settings,0,0,1
Mode,0,0,1
video features,0,0,1
zoom,0,0,18
movie mode,0,0,2
Program mode,0,0,4
autofocus,0,0,1
OPTICAL zoom,0,0,1
white balance,0,0,1
Automatic mode,0,0,1
video capture,0,0,1
money,0,0,9
telephoto lens,0,0,1
Optical Zoom,0,0,1
Hd video,0,0,1
quality video,0,0,1
auto mode,0,0,7
optical zoom,0,0,4
Lens Error,0,0,2
