feature,pos,neg,neutral
second battery,0,0,1
auto,1,1,0
action shots,4,0,1
VIDEO,0,0,1
MODE,0,0,1
focus,2,3,2
screen,0,0,1
LCD screen,0,0,1
photos,4,1,2
mode,4,1,1
HD video,2,0,0
battery life,1,0,0
features,1,2,0
Burst mode,1,0,0
PICTURES,0,0,2
Battery,1,1,0
manual settings,1,0,0
pics,5,1,1
case,1,0,1
PHOTOS,0,0,2
shutter button,0,0,1
settings,1,0,0
image,0,0,1
SDHC card,0,0,1
Memory Card,0,0,1
PRICE,0,0,2
Auto mode,1,1,1
CASE,0,0,1
AUTO,0,0,1
exposure,2,1,0
size,0,1,1
light,3,0,2
shots,4,1,5
Scene Mode,2,0,0
flash,4,0,3
scene mode,2,0,0
Battery life,1,0,0
video,0,0,1
lens,2,0,3
battery,10,5,9
lcd,0,0,1
pictures,14,4,2
Case,0,0,1
button,1,0,0
macro mode,1,0,0
Zoom,0,1,0
viewfinder,0,0,1
Flash,0,0,1
memory card,1,0,0
BATTERY,0,0,1
wide angle,1,0,1
indoor photos,1,0,1
zoom,9,1,4
image stabilization,0,0,1
indoor shots,0,1,0
menu,0,0,2
angle lens,1,0,0
Auto focus,0,0,1
money,1,0,0
DSLR,1,0,0
ZOOM,0,0,4
LCD SCREEN,0,0,2
Optical Zoom,0,1,0
light pictures,0,1,0
optical zoom,0,0,1
auto mode,1,0,0
