feature,pos,neg,neutral
AUTO mode,1,0,0
auto,2,0,0
software,2,1,0
movie,0,1,0
Noise,0,1,0
customer service,0,1,0
screen,3,2,0
Shutter,0,0,1
focus,0,1,0
Image,3,0,0
body,1,0,0
LCD screen,0,1,0
resolution,1,2,1
photos,10,5,1
quality pictures,1,0,0
mode,3,2,0
HD video,1,0,0
battery life,1,0,0
features,2,1,1
view,0,0,1
card reader,1,0,0
price,1,1,0
options,4,0,0
light conditions,0,1,0
pics,0,1,0
case,1,3,0
image,1,2,0
settings,1,0,0
lenses,1,0,0
zoom lens,1,0,0
AF,1,0,0
video capability,0,1,0
LCD,4,0,0
Image quality,1,0,0
image quality,2,0,0
HD Video,0,0,1
size,3,1,1
quality photos,2,0,0
exposure,1,0,0
light,5,0,0
Video,0,1,0
Shutter priority,1,0,0
sensor,2,1,1
Lens,0,1,0
shots,4,2,1
flash,3,1,0
Shutter Priority,1,0,0
HD movie,1,1,0
video,12,2,0
lens,3,3,0
battery,2,1,0
pictures,6,6,1
price point,1,0,0
button,1,0,0
frame rate,0,1,0
noise,1,1,1
Zoom,2,0,0
Menu,1,0,0
lens cap,0,1,0
wide angle,1,1,1
ISO,0,3,1
zoom,18,6,3
movie mode,0,1,0
image stabilization,1,0,0
menu,1,0,0
OPTICAL zoom,0,1,0
angle lens,1,1,0
FEATURES,0,0,1
Wide Angle,1,0,0
money,1,0,0
manual control,2,0,1
optical zoom,2,0,0
