feature,pos,neg,neutral
second battery,0,0,1
auto,0,1,3
shutter speed,0,1,1
iso,0,0,1
movie,0,0,1
indoor pictures,0,0,1
customer service,0,0,1
focus,0,1,2
screen,0,0,3
photos,4,2,10
mode,2,1,4
battery life,0,3,2
features,2,4,6
view,1,0,1
price,0,0,2
function,1,0,2
options,0,0,1
manual settings,0,0,1
pics,8,0,8
case,0,0,2
image,3,1,3
settings,1,1,3
lenses,0,0,2
zoom lens,1,1,0
professional photographer,0,0,1
view screen,1,0,0
image sensor,1,0,0
image quality,1,4,5
priority mode,0,0,1
size,1,0,4
exposure,1,1,2
light,3,2,8
sensor,2,1,11
touch screen,0,0,2
shots,6,0,6
manual mode,1,0,0
video mode,0,0,1
light photos,1,0,0
flash,2,1,8
video,2,1,5
battery,2,2,9
lens,3,1,0
lcd,1,0,3
pictures,13,8,12
price point,1,0,1
button,0,0,1
firmware update,0,0,1
zoom range,0,1,1
noise,0,0,6
viewfinder,0,0,3
automatic mode,0,1,1
burst mode,2,0,2
optical viewfinder,1,0,2
memory card,0,0,1
exposure compensation,0,0,2
wide angle,0,0,2
hd video,0,0,1
zoom,8,3,16
image stabilization,2,0,0
indoor shots,0,0,1
menu,1,0,1
white balance,1,0,1
money,0,0,1
telephoto lens,0,0,1
auto mode,0,0,1
