feature,pos,neg,neutral
shutter speed,0,1,0
Battery life,0,1,0
view finder,0,1,0
customer service,0,1,0
screen,1,2,0
focus,1,0,0
video,1,0,2
battery,1,0,3
lens,1,3,0
Image,1,0,0
LCD screen,0,1,0
photos,0,0,3
resolution,1,0,0
pictures,7,3,1
quality pictures,0,2,0
mode,2,0,2
button,1,0,0
view,1,0,0
zoom range,1,0,0
photos quality,0,0,1
price,1,1,0
function,1,0,0
Battery,0,0,1
Zoom,1,0,1
macro mode,0,0,1
Body,1,0,0
pics,1,0,1
settings,1,0,0
image,1,0,1
shutter button,0,1,0
screen protector,0,1,0
zoom,0,2,0
LCD,2,0,1
Wide Angle,1,0,1
exposure,0,1,0
light,3,1,0
DSLR,0,1,0
Optical Zoom,0,0,1
sensor,1,0,2
touch screen,1,1,0
shots,0,0,1
sd card,0,0,1
lens cover,0,0,1
card,1,2,1
