feature,pos,neg,neutral
second battery,0,0,1
software,0,0,2
automatic settings,0,0,2
customer service,0,0,4
screen,0,0,1
LCD screen,0,0,2
photos,0,0,10
resolution,0,0,2
mode,0,0,6
HD video,0,0,4
battery life,0,0,1
features,0,0,7
spare battery,0,0,1
card reader,0,0,1
price,0,0,2
Light,0,0,1
function,0,0,1
options,0,0,1
pics,0,0,3
case,0,0,7
settings,0,0,3
image,0,0,1
size,0,0,1
light,0,0,1
sensor,0,0,2
shots,0,0,3
card,0,0,2
flash,0,0,1
color,0,0,3
Underwater pictures,0,0,1
video,0,0,6
lens,0,0,8
battery,0,0,5
pictures,0,0,16
button,0,0,4
outdoor shots,0,0,1
noise,0,0,1
Flash,0,0,1
burst mode,0,0,3
memory card,0,0,1
SD card,0,0,6
shutter,0,0,1
Macro mode,0,0,1
zoom,0,0,5
menu,0,0,2
white balance,0,0,1
video capture,0,0,1
money,0,0,1
DSLR,0,0,1
underwater photos,0,0,1
auto mode,0,0,1
