feature,pos,neg,neutral
auto,0,0,1
software,0,0,3
movie,0,0,1
VIDEO,0,0,1
customer service,0,0,1
screen,0,0,5
focus,0,0,6
photos,0,0,8
resolution,0,0,1
mode,0,0,3
HD video,0,0,2
battery life,0,0,1
features,0,0,6
view,0,0,1
price,0,0,1
Battery,0,0,1
options,0,0,3
pics,0,0,2
Image Stabilization,0,0,1
case,0,0,1
settings,0,0,5
shutter button,0,0,1
image,0,0,1
PRICE,0,0,1
SIZE,0,0,1
underwater pictures,0,0,1
image quality,0,0,1
size,0,0,1
exposure,0,0,1
light,0,0,3
Focus,0,0,1
touch screen,0,0,1
wrist strap,0,0,1
sensor,0,0,2
shots,0,0,4
sensor size,0,0,1
flash,0,0,4
color,0,0,3
video,0,0,7
lens,0,0,2
battery,0,0,10
pictures,0,0,13
button,0,0,2
USB cable,0,0,1
Shots,0,0,1
Menu,0,0,1
Flash,0,0,2
memory card,0,0,2
Indoor shots,0,0,1
hd video,0,0,1
indoor photos,0,0,3
zoom,0,0,4
night shots,0,0,1
price range,0,0,1
menu,0,0,4
white balance,0,0,1
DSLR,0,0,1
ISO settings,0,0,1
underwater photos,0,0,2
