feature,pos,neg,neutral
auto,0,0,3
movie,0,0,1
indoor pictures,0,0,1
view finder,0,0,1
focus,0,0,5
screen,0,0,7
lcd screen,0,0,1
SETTINGS,0,0,1
LCD screen,0,0,5
Image,0,0,1
photos,0,0,16
resolution,0,0,2
battery life,0,0,2
mode,0,0,9
features,0,0,9
price,0,0,6
light conditions,0,0,2
focal length,0,0,1
shutter priority,0,0,1
pics,0,0,2
case,0,0,2
Exposure compensation,0,0,1
settings,0,0,12
image,0,0,2
lenses,0,0,1
zoom lens,0,0,2
professional photographer,0,0,1
LCD,0,0,1
image quality,0,0,2
exposure,0,0,4
light,0,0,8
sdhc card,0,0,1
sensor,0,0,1
shots,0,0,11
video mode,0,0,1
card,0,0,2
flash,0,0,11
scene mode,0,0,5
color,0,0,3
auto focus,0,0,1
battery,0,0,3
lens,0,0,6
pictures,0,0,16
price point,0,0,1
button,0,0,2
outdoor shots,0,0,2
program mode,0,0,2
noise,0,0,4
electronic viewfinder,0,0,1
Zoom,0,0,1
viewfinder,0,0,3
automatic mode,0,0,2
lens cap,0,0,3
exposure compensation,0,0,1
shutter,0,0,3
indoor photos,0,0,1
video quality,0,0,1
zoom,0,0,19
image stabilization,0,0,1
indoor shots,0,0,1
price range,0,0,4
battery compartment,0,0,1
menu,0,0,1
white balance,0,0,2
Automatic mode,0,0,1
money,0,0,1
DSLR,0,0,3
entry level,0,0,2
Optical Zoom,0,0,1
optical zoom,0,0,2
