feature,pos,neg,neutral
shutter speed,0,1,2
software,1,0,0
view finder,1,0,2
screen,3,0,1
focus,0,0,2
focus ring,0,1,0
LCD screen,2,1,0
body,1,1,3
photos,3,2,1
resolution,0,0,1
battery pack,0,0,1
video clips,0,1,0
mode,0,1,0
HD video,1,0,1
view,0,1,0
IMAGE QUALITY,0,1,0
price,1,0,0
options,1,0,0
neck strap,1,0,0
menu system,1,0,0
user manual,1,0,1
settings,3,1,3
shutter button,0,1,3
image,1,0,0
lenses,7,5,7
SDHC card,0,0,1
PRICE,1,0,0
AF,1,1,1
SIZE,0,0,1
Exposure,0,2,0
video shoot,0,0,1
LCD,0,1,0
AUTO,0,1,0
quality photos,1,0,0
light,2,0,2
Video,1,0,0
battery grip,0,0,3
shots,5,0,1
manual mode,0,0,1
card,0,1,0
flash,0,0,1
color,1,0,0
auto focus,0,0,2
Battery life,1,0,0
video,5,4,1
battery charger,0,1,0
battery,0,2,2
lens,4,1,4
pictures,1,1,0
Photos,1,0,0
button,0,0,1
viewfinder,1,1,0
Movie,0,1,0
video recording,0,2,0
ISO,1,0,0
night shots,0,1,0
video capture,1,0,0
money,0,0,1
DSLR,2,1,1
kit lens,0,0,1
