feature,pos,neg,neutral
shutter speed,0,0,1
Battery life,0,0,1
color,0,0,4
focus,0,0,6
screen,0,0,2
lower light,0,0,1
video,0,0,2
body,0,0,1
battery,0,0,1
lens,0,0,5
photos,0,0,5
resolution,0,0,2
pictures,0,0,19
CARD,0,0,1
button,0,0,1
features,0,0,1
view,0,0,1
Zoom,0,0,1
pics,0,0,1
case,0,0,1
Image stabilization,0,0,1
settings,0,0,4
SDHC card,0,0,1
exposure compensation,0,0,1
ISO,0,0,1
light settings,0,0,1
shutter,0,0,2
MEMORY CARD,0,0,5
zoom,0,0,2
price range,0,0,1
size,0,0,3
exposure,0,0,2
DSLR,0,0,2
light,0,0,2
Focus,0,0,1
Video,0,0,1
ISO settings,0,0,1
sensor,0,0,1
shots,0,0,2
flash,0,0,4
