feature,pos,neg,neutral
color,0,0,2
software,0,0,1
view finder,0,0,1
screen,0,0,7
focus,0,0,3
video,0,0,1
battery,0,0,4
body,0,0,1
photos,0,0,12
pictures,0,0,4
HD video,0,0,1
button,0,0,1
features,0,0,3
view,0,0,1
card reader,0,0,1
spare battery,0,0,1
options,0,0,2
viewfinder,0,0,1
pics,0,0,1
SD card,0,0,1
user manual,0,0,1
image,0,0,2
settings,0,0,1
lenses,0,0,1
Light weight,0,0,1
video quality,0,0,1
zoom,0,0,3
LCD,0,0,2
white balance,0,0,1
AUTO,0,0,1
image quality,0,0,1
quality photos,0,0,1
money,0,0,2
light,0,0,4
Price,0,0,1
touch screen,0,0,4
wrist strap,0,0,1
shutter lag,0,0,1
optical zoom,0,0,2
card,0,0,3
flash,0,0,2
