feature,pos,neg,neutral
light situations,0,0,1
auto,0,0,5
shutter speed,1,0,4
software,0,0,3
iso,1,0,4
movie,0,0,1
screen,1,1,3
focus,0,2,4
photos,8,4,12
resolution,0,1,3
battery life,4,0,5
mode,8,1,14
features,2,0,5
view,0,0,1
price,4,0,8
options,0,0,1
pics,1,3,6
build quality,0,0,1
case,1,0,2
settings,3,3,8
image,0,1,6
shutter button,0,0,2
lenses,0,0,1
professional photographer,0,0,2
image sensor,0,0,1
shoot mode,1,0,0
image quality,3,0,1
exposure,0,1,1
size,1,0,7
light,1,0,2
sensor,0,0,1
shutter lag,0,0,1
shots,8,2,17
video mode,0,0,1
card,0,0,7
manual mode,0,0,1
sensor size,0,0,1
flash,6,2,22
scene mode,0,0,1
color,2,0,3
video,7,0,13
lens,4,0,13
lcd,0,0,2
battery,0,1,2
pictures,19,4,14
price point,0,0,2
button,1,0,6
zoom range,0,1,0
firmware update,0,0,1
macro mode,0,0,1
viewfinder,0,0,1
lens cap,0,0,2
battery door,0,1,0
burst mode,0,0,1
memory card,0,0,2
panorama mode,0,1,0
exposure compensation,0,0,1
hd video,3,0,0
shutter,0,0,2
video quality,2,1,1
zoom,13,3,12
price range,0,0,1
image stabilization,0,0,2
menu,3,1,2
amateur photographer,0,0,1
white balance,1,0,1
money,1,0,5
entry level,0,0,1
dslr,1,0,6
manual control,0,0,2
sd card,0,1,1
optical zoom,1,0,2
auto mode,2,1,3
lens cover,0,0,1
