feature,pos,neg,neutral
Pictures,0,0,1
manual focus,0,0,1
shutter speed,0,0,3
movie,0,0,2
software,0,0,1
view finder,0,0,1
focus,0,0,20
LCD screen,0,0,2
resolution,0,0,3
card reader,0,0,1
price,0,0,4
pics,0,0,5
case,0,0,3
lenses,0,0,7
zoom lens,0,0,4
professional photographer,0,0,1
Card,0,0,1
CASE,0,0,1
HD Video,0,0,1
exposure,0,0,8
size,0,0,3
light,0,0,25
shutter lag,0,0,1
shots,0,0,17
card,0,0,5
sensor size,0,0,1
video mode,0,0,2
flash,0,0,8
scene mode,0,0,1
auto focus,0,0,1
Zoom Lens,0,0,1
battery charger,0,0,1
battery,0,0,27
pictures,0,0,33
Case,0,0,2
firmware update,0,0,1
noise,0,0,3
electronic viewfinder,0,0,1
lens cap,0,0,9
Build quality,0,0,1
panorama mode,0,0,1
wide angle,0,0,7
video recording,0,0,1
ISO,0,0,1
shutter,0,0,2
Light weight,0,0,1
price range,0,0,1
image stabilization,0,0,1
menu,0,0,3
DSLR,0,0,7
dslr,0,0,4
kit lens,0,0,1
action shots,0,0,1
screen,0,0,13
WIDE ANGLE,0,0,1
photos,0,0,9
HD video,0,0,2
battery life,0,0,4
mode,0,0,5
features,0,0,10
view,0,0,2
shutter release,0,0,1
Outdoor shots,0,0,1
spare battery,0,0,1
Light,0,0,1
function,0,0,2
Battery,0,0,2
manual settings,0,0,1
light conditions,0,0,1
focus mode,0,0,1
user manual,0,0,1
image,0,0,5
settings,0,0,2
Memory Card,0,0,1
Auto settings,0,0,1
LCD,0,0,8
AUTO,0,0,1
image quality,0,0,5
prime lens,0,0,1
Focus,0,0,2
Video,0,0,5
sensor,0,0,3
LCD Screen,0,0,1
video,0,0,39
lens,0,0,24
Auto,0,0,2
button,0,0,5
USB cable,0,0,2
Manual focus,0,0,1
zoom range,0,0,5
Zoom,0,0,2
viewfinder,0,0,4
Flash,0,0,1
memory card,0,0,4
focus system,0,0,1
SD card,0,0,5
zoom,0,0,61
amateur photographer,0,0,1
money,0,0,4
Optical Zoom,0,0,1
ZOOM,0,0,1
quality video,0,0,2
optical zoom,0,0,3
auto mode,0,0,1
light pictures,0,0,1
