feature,pos,neg,neutral
macro shots,1,0,0
movie,1,0,0
VIDEO,1,0,0
customer service,0,1,0
screen,1,1,0
LCD screen,2,1,0
body,1,1,0
photos,6,5,4
battery life,0,0,1
HD video,3,0,0
mode,3,0,2
features,1,1,0
price,3,1,3
Battery,0,0,1
options,2,0,0
case,0,0,3
image,1,2,2
SDHC card,2,0,0
professional photographer,0,0,3
Color,1,0,1
image sensor,1,1,1
video capability,1,0,0
LCD,1,1,0
size,2,0,0
light,1,1,0
shots,0,1,0
video mode,1,0,2
flash,3,0,1
scene mode,0,0,1
color,1,3,1
video,5,2,4
battery,0,0,9
lens,2,3,0
pictures,4,1,3
Photos,2,1,0
button,1,0,1
noise,0,1,0
macro mode,0,0,1
LCD display,0,3,0
ISO range,1,0,0
Mode,2,0,0
indoor photos,1,0,0
video quality,1,0,0
zoom,5,0,5
menu,0,1,0
battery compartment,0,1,0
money,1,0,0
DSLR,0,0,1
manual control,1,0,0
auto mode,2,0,0
lens cover,0,3,0
optical zoom,1,0,0
