feature,pos,neg,neutral
manual focus,0,0,2
auto,0,0,1
color,0,0,4
Battery life,0,0,1
Battery door,0,0,1
screen,0,0,4
focus,0,0,1
video,0,0,5
Image,0,0,1
battery,0,0,3
lens,0,0,2
photos,0,0,7
resolution,0,0,1
pictures,0,0,13
quality pictures,0,0,1
button,0,0,2
mode,0,0,4
Photos,0,0,1
Auto,0,0,1
battery life,0,0,1
features,0,0,7
view,0,0,1
price,0,0,3
Zoom,0,0,1
viewfinder,0,0,1
battery door,0,0,2
pics,0,0,4
build quality,0,0,1
case,0,0,2
memory card,0,0,1
Image stabilization,0,0,1
settings,0,0,2
image,0,0,1
zoom,0,0,6
price range,0,0,1
LCD,0,0,1
menu,0,0,1
white balance,0,0,1
Wide Angle,0,0,1
money,0,0,3
size,0,0,3
quality photos,0,0,1
light,0,0,4
shots,0,0,1
auto mode,0,0,1
optical zoom,0,0,1
flash,0,0,2
