feature,pos,neg,neutral
tech support,0,0,2
instructions,0,0,1
software,2,2,8
part,0,0,1
scan,2,0,19
duplex,1,0,4
office,0,0,2
multiple pages,0,0,5
pictures,0,0,1
mode,1,0,5
sleep mode,1,0,1
technical support,0,1,3
feature,3,1,2
paper,0,2,7
toner,3,3,13
price,1,0,0
replace toner,0,0,1
function,0,0,2
scanner,0,0,4
connection,0,1,7
copy,1,1,2
text,0,0,1
image,1,0,2
wifi,0,0,3
cost,2,0,4
windows xp,0,0,1
starter toner,0,0,2
card stock,0,0,1
price range,1,0,0
paper jam,0,0,1
customer support,0,0,1
toner cartridges,0,0,1
money,0,0,2
install,0,0,1
machine,0,1,3
setup,1,0,4
windows vista,0,0,1
support,0,0,2
device,2,0,2
option,0,0,3
