feature,pos,neg,neutral
tech support,1,0,7
instructions,0,0,2
software,2,4,13
part,0,0,1
customer service,0,0,1
scan,2,1,13
duplex,0,0,8
office,1,0,8
mac,0,1,3
multiple pages,0,0,1
mode,0,0,3
sleep mode,3,2,3
mac os,0,2,1
paper,0,1,2
feature,1,0,5
price,1,0,9
toner,3,4,22
replace toner,0,0,1
function,2,1,3
scanner,0,0,1
connection,1,2,6
copy,2,0,8
text,2,0,2
paper tray,0,0,1
wifi,0,0,1
cost,2,0,7
windows xp,0,0,1
starter toner,0,0,1
initial setup,0,1,0
customer support,0,1,6
size,0,0,1
install,0,0,6
machine,8,3,25
setup,2,2,6
scan function,0,0,1
device,0,0,3
support,1,2,3
option,0,1,2
