feature,pos,neg,neutral
tech support,0,0,3
instructions,0,2,1
software,0,2,4
manual feed,1,0,2
customer service,0,0,1
scan,0,1,12
duplex,0,0,7
office,0,1,3
mac,2,0,5
multiple pages,0,0,1
pictures,0,0,1
mode,0,0,4
output tray,0,0,1
technical support,0,0,1
paper,0,0,7
feature,0,2,3
toner,2,4,27
price,1,1,5
scanner,2,0,6
duplex feature,1,0,0
pdf file,0,0,1
copy,0,0,5
paper tray,1,0,0
wifi,0,0,2
cost,2,0,1
starter toner,0,0,1
paper jam,0,0,1
customer support,0,0,1
toner cartridges,0,1,7
money,0,0,1
install,0,0,3
machine,1,1,6
setup,0,0,3
support,0,0,3
option,0,2,1
