feature,pos,neg,neutral
AUTO mode,0,0,1
light situations,0,0,1
manual focus,0,0,2
shutter speed,0,0,5
software,0,0,6
movie,0,0,4
focus,0,0,23
LCD screen,0,0,3
resolution,0,0,8
quality pictures,0,0,1
Battery Life,0,0,1
price,0,0,29
Swivel screen,0,0,1
options,0,0,10
dSLR,0,0,4
pics,0,0,5
case,0,0,4
PHOTOS,0,0,1
shutter button,0,0,1
lenses,0,0,32
zoom lens,0,0,1
professional photographer,0,0,2
AF,0,0,8
screen protector,0,0,3
image sensor,0,0,3
lens hood,0,0,1
Exposure,0,0,1
guide mode,0,0,1
Customer service,0,0,1
exposure,0,0,10
size,0,0,4
light,0,0,27
battery grip,0,0,3
Shutter priority,0,0,1
Lens,0,0,3
shots,0,0,23
card,0,0,4
video mode,0,0,1
flash,0,0,14
auto focus,0,0,5
Zoom Lens,0,0,4
White Balance,0,0,4
battery charger,0,0,1
battery,0,0,14
pictures,0,0,34
price point,0,0,1
Auto Focus,0,0,3
swivel screen,0,0,5
editing software,0,0,2
noise,0,0,9
LCD display,0,0,1
Menu,0,0,1
Card Reader,0,0,1
wide angle,0,0,1
ISO,0,0,45
shutter,0,0,12
Kit lens,0,0,1
Light weight,0,0,1
video quality,0,0,4
price range,0,0,3
menu,0,0,12
angle lens,0,0,1
Video capture,0,0,1
Wide Angle,0,0,1
DSLR,0,0,22
dslr,0,0,3
light weight,0,0,1
kit lens,0,0,8
Higher resolution,0,0,1
manual control,0,0,1
articulating screen,0,0,4
macro shots,0,0,1
auto,0,0,4
iso,0,0,1
Noise,0,0,2
customer service,0,0,1
screen,0,0,32
body,0,0,25
photos,0,0,20
HD video,0,0,5
mode,0,0,31
battery life,0,0,6
features,0,0,34
view,0,0,11
shutter release,0,0,5
SCENE mode,0,0,1
Articulating screen,0,0,1
Light,0,0,1
function,0,0,9
Image Quality,0,0,2
Auto Mode,0,0,2
light conditions,0,0,1
focus mode,0,0,2
build quality,0,0,3
menu system,0,0,1
higher resolution,0,0,4
settings,0,0,21
image,0,0,9
LIGHT,0,0,1
Color,0,0,1
Auto mode,0,0,1
LCD,0,0,12
VIEWFINDER,0,0,1
image quality,0,0,22
Price,0,0,1
Focus,0,0,1
Video,0,0,3
sensor,0,0,26
manual mode,0,0,4
Sensor,0,0,1
Options,0,0,1
quick shots,0,0,2
HD camcorder,0,0,1
Battery life,0,0,2
color,0,0,12
external flash,0,0,3
wireless flash,0,0,2
video,0,0,52
lens,0,0,36
button,0,0,37
Auto,0,0,3
USB cable,0,0,1
Photos,0,0,1
frame rate,0,0,2
Zoom,0,0,3
viewfinder,0,0,9
Flash,0,0,2
auto ISO,0,0,1
focus system,0,0,1
memory card,0,0,1
SD card,0,0,5
card slot,0,0,1
Mode,0,0,3
video features,0,0,1
zoom,0,0,2
movie mode,0,0,1
autofocus,0,0,22
View,0,0,7
amateur photographer,0,0,1
video capture,0,0,2
money,0,0,11
focus point,0,0,3
ISO settings,0,0,2
entry level,0,0,7
telephoto lens,0,0,1
quality video,0,0,1
film SLR,0,0,1
