feature,pos,neg,neutral
tech support,0,0,4
instructions,0,0,4
software,0,2,5
paper feeder,0,0,1
plain paper,1,0,6
part,0,1,1
customer service,0,1,0
scan,1,1,5
duplex,0,0,2
lcd screen,1,0,0
mac,0,0,6
pictures,0,1,0
capability,0,0,2
paper,3,3,22
feature,1,0,3
firmware update,1,0,1
price,4,0,4
toner,0,0,2
function,0,0,1
scanner,0,1,2
pdf file,0,0,1
connection,0,0,1
copy,0,0,3
text,1,0,2
image,1,0,1
wifi,0,0,5
cost,0,1,1
regular paper,0,0,1
error message,1,1,2
size,0,1,1
money,2,0,1
install,1,0,2
machine,0,0,3
setup,1,0,6
touch screen,0,0,1
support,0,0,6
device,0,0,1
sd card,0,0,1
option,1,0,7
