feature,pos,neg,neutral
auto,0,0,1
shutter speed,0,0,3
auto focus,0,0,2
color,0,0,1
software,0,0,3
customer service,0,0,1
focus,0,0,2
video,0,0,1
battery,0,0,1
photos,0,0,6
resolution,0,0,3
pictures,0,0,12
price point,0,0,1
quality pictures,0,0,1
button,0,0,2
mode,0,0,1
battery life,0,0,1
features,0,0,3
frame rate,0,0,1
price,0,0,3
noise,0,0,2
options,0,0,1
Zoom,0,0,1
manual settings,0,0,2
light conditions,0,0,1
pics,0,0,1
menu system,0,0,1
case,0,0,1
shutter button,0,0,1
settings,0,0,1
image,0,0,1
ISO,0,0,6
shutter,0,0,5
zoom,0,0,4
image stabilization,0,0,1
menu,0,0,1
amateur photographer,0,0,1
size,0,0,7
exposure,0,0,3
money,0,0,2
light,0,0,9
ISO settings,0,0,1
sensor,0,0,2
dslr,0,0,1
shots,0,0,8
video mode,0,0,1
flash,0,0,4
