feature,pos,neg,neutral
auto,3,0,0
software,2,0,0
action shots,1,1,1
Noise,0,0,1
focus,5,1,4
screen,1,1,1
Image,1,0,0
body,2,0,0
LCD screen,1,0,0
photos,8,0,3
resolution,2,1,1
SD Card,1,1,0
battery life,1,1,0
mode,1,1,1
HD video,2,0,0
features,9,3,1
shutter release,1,0,2
view,0,0,1
Burst mode,1,0,0
price,2,1,0
function,0,0,1
noise reduction,0,1,0
Auto Mode,1,0,0
manual settings,1,0,0
dSLR,0,0,2
focal length,1,0,0
pics,2,3,0
case,0,0,1
build quality,1,0,0
image,1,0,1
settings,2,2,3
Burst Mode,0,1,2
lenses,4,1,4
zoom lens,1,0,1
AF,2,1,2
Auto mode,1,0,1
Exposure,0,1,0
LCD,4,0,0
image quality,8,2,0
size,4,1,0
exposure,0,2,1
light,7,1,2
Price,0,0,1
Video,2,0,0
sensor,2,1,0
shutter lag,1,0,0
shots,5,3,4
light capability,1,0,0
card,1,0,1
video mode,2,0,0
sensor size,0,0,1
flash,3,0,1
Sensor,0,0,1
HD camcorder,1,0,0
auto focus,1,1,0
Battery life,1,0,0
color,3,1,1
video,14,2,2
lens,12,2,5
battery,2,1,2
pictures,15,4,11
button,2,1,6
Auto,1,0,0
frame rate,1,0,0
zoom range,1,0,0
Electronic viewfinder,1,0,0
noise,3,0,1
viewfinder,1,0,0
Shots,0,1,0
burst mode,1,1,0
Body,1,0,0
battery door,0,1,0
lens cap,0,1,0
memory card,0,1,0
Image stabilization,1,0,0
SD card,2,0,0
wide angle,0,1,0
ISO,3,3,1
shutter,4,1,0
video quality,0,1,0
zoom,17,3,9
indoor shots,1,0,0
night shots,0,0,1
image stabilization,2,0,0
price range,0,1,0
autofocus,2,0,0
HD Camcorder,1,0,0
money,1,0,0
DSLR,10,1,2
telephoto lens,2,0,1
Optical Zoom,0,0,1
light weight,0,0,1
kit lens,1,0,0
manual control,3,0,0
optical zoom,0,1,0
