feature,pos,neg,neutral
Pictures,0,0,1
light situations,0,0,2
movie,0,0,4
screen,0,0,1
focus,0,0,1
LCD screen,0,0,1
photos,0,0,4
mode,0,0,5
battery life,0,0,7
HD video,0,0,4
features,0,0,4
price,0,0,3
function,0,0,3
options,0,0,3
pics,0,0,3
case,0,0,2
menu system,0,0,1
settings,0,0,3
image,0,0,1
zoom lens,0,0,1
Color,0,0,1
Auto mode,0,0,1
Video Mode,0,0,1
rechargeable battery,0,0,1
quality photos,0,0,2
size,0,0,4
Video,0,0,1
shots,0,0,2
flash,0,0,11
Shutter Priority,0,0,2
color,0,0,3
video,0,0,6
battery,0,0,5
lens,0,0,4
pictures,0,0,10
Auto,0,0,1
button,0,0,2
memory card,0,0,1
SD card,0,0,1
video recording,0,0,1
ISO,0,0,1
video quality,0,0,1
zoom,0,0,4
image stabilization,0,0,1
menu,0,0,2
white balance,0,0,1
Manual mode,0,0,1
money,0,0,1
auto mode,0,0,2
optical zoom,0,0,2
