feature,pos,neg,neutral
shutter speed,1,0,0
software,0,0,1
screen,2,0,3
focus,0,1,0
lcd screen,1,0,0
video,0,0,1
battery,0,0,2
lens,1,0,2
photos,2,1,2
pictures,4,0,1
battery life,1,0,0
button,0,1,0
mode,0,0,2
features,1,0,1
view,0,1,1
price,0,0,2
noise,0,0,1
image,0,1,2
settings,0,0,1
hd video,1,0,0
af,2,1,1
light settings,0,0,1
zoom,3,0,4
menu,1,0,1
image quality,1,0,0
exposure,0,1,0
money,0,1,0
hd movie,1,0,0
light,3,1,4
shutter lag,1,0,0
shots,0,1,0
optical zoom,1,0,1
flash,5,3,11
light photos,1,0,1
