feature,pos,neg,neutral
second battery,0,0,1
auto,0,0,2
shutter speed,0,0,1
color,0,0,2
focus,0,0,2
video,0,0,6
battery,0,0,3
lens,0,0,5
resolution,0,0,2
photos,0,0,2
pictures,0,0,17
button,0,0,4
HD video,0,0,1
features,0,0,1
view,0,0,2
Battery Life,0,0,1
Button,0,0,1
noise,0,0,2
options,0,0,1
light conditions,0,0,2
dSLR,0,0,1
Flash,0,0,1
pics,0,0,1
memory card,0,0,2
case,0,0,1
SD card,0,0,1
image,0,0,1
video recording,0,0,1
ISO,0,0,1
view screen,0,0,1
video quality,0,0,1
zoom,0,0,9
LCD,0,0,2
menu,0,0,1
autofocus,0,0,1
money,0,0,1
light,0,0,2
Video,0,0,2
sensor,0,0,1
shots,0,0,5
card,0,0,2
light pictures,0,0,1
