feature,pos,neg,neutral
manual focus,0,0,3
shutter speed,0,0,3
movie,0,0,2
software,0,0,1
Size,0,0,1
view finder,0,0,4
focus,0,0,19
Shutter,0,0,1
lcd screen,0,0,1
LCD screen,0,0,2
Image,0,0,1
resolution,0,0,2
Video Quality,0,0,1
price,0,0,8
Auto ISO,0,0,1
options,0,0,4
dSLR,0,0,7
neck strap,0,0,1
pics,0,0,1
case,0,0,2
PHOTOS,0,0,1
lenses,0,0,29
zoom lens,0,0,2
AF,0,0,2
af,0,0,1
Image quality,0,0,1
size,0,0,10
exposure,0,0,2
light,0,0,15
wrist strap,0,0,1
shots,0,0,5
sensor size,0,0,2
video mode,0,0,1
flash,0,0,12
battery,0,0,8
pictures,0,0,15
firmware update,0,0,1
noise,0,0,13
electronic viewfinder,0,0,1
Menu,0,0,1
panorama mode,0,0,1
Movie,0,0,1
wide angle,0,0,3
video recording,0,0,4
ISO,0,0,24
shutter,0,0,3
Kit lens,0,0,1
video quality,0,0,2
image stabilization,0,0,1
night shots,0,0,1
menu,0,0,5
FEATURES,0,0,1
White balance,0,0,1
DSLR,0,0,9
USER INTERFACE,0,0,1
kit lens,0,0,2
manual control,0,0,1
auto,0,0,2
iso,0,0,4
customer service,0,0,2
Viewfinder,0,0,1
screen,0,0,8
body,0,0,7
photos,0,0,10
battery pack,0,0,1
battery life,0,0,1
mode,0,0,5
features,0,0,5
view,0,0,3
spare battery,0,0,2
Battery,0,0,1
menu system,0,0,7
settings,0,0,7
image,0,0,6
video capability,0,0,1
LCD,0,0,1
image quality,0,0,7
Focus,0,0,3
touch screen,0,0,9
sensor,0,0,10
manual mode,0,0,1
Sensor,0,0,1
color,0,0,1
wireless flash,0,0,1
video,0,0,23
lens,0,0,29
button,0,0,3
Auto,0,0,1
viewfinder,0,0,3
Features,0,0,1
memory card,0,0,1
SD card,0,0,1
BATTERY,0,0,1
zoom,0,0,6
white balance,0,0,1
video capture,0,0,1
money,0,0,1
focus point,0,0,1
film SLR,0,0,1
