feature,pos,neg,neutral
auto,0,0,2
shutter speed,0,0,1
screen,0,1,3
lcd screen,1,0,1
body,1,0,0
resolution,1,1,0
photos,1,0,4
video clips,0,0,1
battery life,0,0,1
mode,1,0,0
features,6,0,0
view,0,0,1
price,0,0,1
function,0,0,3
light conditions,1,0,0
manual settings,1,0,0
case,1,0,4
settings,1,0,2
lenses,0,0,1
video capability,0,0,1
image quality,4,0,2
size,2,0,4
light,3,0,4
sensor,1,0,0
shots,6,0,3
card,0,0,2
manual mode,1,0,0
flash,0,0,1
color,0,2,4
video,2,1,10
battery,0,1,5
lens,1,4,8
pictures,1,0,3
button,1,1,0
zoom range,1,0,0
noise,0,2,0
lens cap,0,0,1
optical viewfinder,1,0,0
wide angle,1,0,0
video recording,1,0,0
video quality,2,0,0
zoom,5,0,4
image stabilization,0,0,1
menu,0,0,1
amateur photographer,0,0,2
lens error,0,0,2
money,0,1,1
dslr,0,1,1
sd card,0,0,1
auto mode,1,1,1
lens cover,0,1,0
optical zoom,0,0,1
