feature,pos,neg,neutral
tech support,1,0,5
instructions,0,0,1
software,1,2,11
plain paper,0,0,2
part,0,2,3
customer service,0,0,2
scan,1,2,11
duplex,3,1,4
office,2,0,8
mac,4,4,6
pictures,1,0,4
mode,1,0,3
paper feed,0,0,1
output tray,0,0,1
capability,0,0,2
feature,1,0,3
paper,3,7,23
price,3,2,6
function,2,0,5
scanner,2,2,3
connection,0,0,3
copy,0,1,3
text,3,1,2
memory card,0,0,3
paper tray,1,0,0
image,1,0,0
wifi,3,0,7
cost,0,0,5
error message,0,0,1
customer support,2,0,4
control panel,0,0,1
money,0,0,2
size,0,0,2
install,0,2,5
snow leopard,1,0,1
machine,1,1,5
feed tray,0,0,1
setup,2,1,4
touch screen,0,1,1
paper size,1,0,0
support,2,1,7
sd card,0,0,1
device,0,0,2
option,3,2,2
