feature,pos,neg,neutral
instructions,1,1,2
software,2,2,21
customer service,1,0,2
part,1,0,0
scan,1,0,2
office,0,0,1
pictures,2,0,0
mac,0,2,3
mode,0,0,1
sleep mode,0,0,1
paper feed,0,1,0
mac os,1,0,0
paper,2,3,12
feature,2,0,1
price,0,0,6
function,4,0,4
scanner,2,0,6
connection,0,1,0
copy,4,0,3
text,0,0,2
memory card,0,0,1
paper tray,1,1,6
wifi,0,0,2
cost,0,0,2
operating system,0,0,1
regular paper,0,0,1
card stock,0,0,5
phone line,0,0,1
paper jam,0,0,1
control panel,1,1,1
customer support,0,1,3
money,0,0,4
size,0,0,2
install,0,2,5
machine,0,0,3
setup,2,0,3
mac user,0,0,1
device,3,0,0
support,0,2,3
option,2,0,1
