feature,pos,neg,neutral
manual focus,0,0,2
auto,1,0,7
iso,1,1,0
indoor pictures,1,0,0
focus,2,0,2
screen,0,0,2
focus ring,0,0,1
body,2,1,0
photos,0,0,2
resolution,0,0,1
mode,0,1,6
features,0,0,1
view,0,0,1
price,0,4,2
focus mode,0,0,3
shutter priority,0,0,1
case,0,0,2
image,2,0,2
settings,1,0,5
lenses,2,1,6
zoom lens,0,0,1
professional photographer,1,0,0
image quality,1,1,2
exposure,1,1,1
size,1,0,0
light,2,0,3
sensor,1,1,2
shots,0,1,0
auto iso,0,1,0
card,0,1,0
manual mode,1,0,1
flash,0,1,7
scene mode,0,1,0
external flash,0,1,1
video,1,0,1
lcd,0,0,1
lens,5,2,5
pictures,8,4,9
button,1,2,4
zoom range,0,0,1
noise,0,1,0
exposure compensation,0,0,1
shutter,0,1,3
zoom,0,0,1
autofocus,1,1,2
menu,1,0,4
amateur photographer,0,0,1
money,0,0,1
focus point,0,0,1
dslr,1,1,8
sd card,0,0,1
