feature,pos,neg,neutral
tech support,0,0,4
instructions,2,1,11
software,2,0,17
paper feeder,0,0,1
plain paper,1,0,0
part,0,1,1
customer service,2,0,3
scan,1,0,10
software install,0,0,1
duplex,3,2,17
size paper,1,0,1
office,4,1,11
mac,1,0,5
mode,1,0,1
mac os,0,0,1
capability,0,0,5
technical support,0,1,1
paper,2,0,14
feature,1,0,4
price,6,0,1
toner,3,1,3
function,0,1,5
scanner,3,0,4
pdf file,0,0,2
connection,0,0,3
copy,1,1,8
text,0,1,0
legal size,0,0,5
image,0,1,3
wifi,0,0,1
cost,0,0,2
windows xp,0,0,2
operating system,0,0,1
phone line,0,0,1
paper jam,0,0,3
customer support,0,0,1
size,0,0,3
money,0,0,3
install,1,0,5
machine,9,6,33
windows vista,0,1,1
setup,5,5,10
paper size,0,1,2
support,0,1,13
device,2,1,5
option,2,0,3
