feature,pos,neg,neutral
tech support,0,0,2
instructions,0,3,10
test pages,0,0,1
software,4,4,20
plain paper,0,0,1
part,1,0,1
customer service,0,0,1
scan,2,3,11
duplex,1,1,1
lcd screen,0,0,2
size paper,0,0,2
mac,0,0,13
pictures,1,0,2
mode,2,0,1
power cord,1,0,0
output tray,0,0,1
mac os,0,0,1
paper feed,0,0,1
capability,0,0,5
technical support,0,0,1
paper,1,3,25
feature,4,1,2
price,3,0,7
function,0,1,6
scanner,2,1,10
connection,0,1,3
copy,3,1,6
text,2,0,5
paper tray,1,1,2
wifi,0,0,1
cost,0,0,4
error message,0,0,1
control panel,1,0,1
money,0,1,4
size,0,0,4
install,2,2,6
snow leopard,0,1,4
machine,2,1,12
setup,2,2,5
windows vista,0,1,1
support,2,1,3
device,1,0,0
