feature,pos,neg,neutral
tech support,2,0,2
instructions,1,1,3
software,3,0,4
part,1,0,2
customer service,2,1,4
scan,1,0,13
duplex,0,0,2
lcd screen,1,0,0
office,0,0,8
mac,0,1,1
scan feature,0,0,1
sleep mode,0,1,0
mac os,0,1,1
paper feed,1,0,0
technical support,0,0,4
capability,0,0,1
paper,0,1,4
feature,0,2,1
price,0,0,2
function,1,0,1
scanner,2,0,3
connection,0,0,3
copy,0,0,3
text,0,0,2
image,1,0,2
wifi,1,0,0
cost,0,1,3
windows xp,0,0,1
card stock,0,0,4
error message,0,0,1
size,1,0,0
money,0,1,2
install,1,0,3
machine,1,0,3
setup,1,1,4
touch screen,0,0,1
support,3,0,4
device,0,0,1
latest drivers,0,0,1
option,0,0,3
