feature,pos,neg,neutral
tech support,0,0,6
instructions,1,0,2
software,0,1,7
part,0,0,2
customer service,1,0,0
scan,2,0,8
office,0,0,6
pictures,0,0,1
mac,0,0,3
power cord,0,0,1
mac os,1,0,0
capability,1,0,1
paper,0,2,10
feature,1,0,1
toner,0,0,1
price,0,3,2
function,0,0,1
scanner,0,0,5
pdf file,0,0,1
copy,0,0,2
scan software,0,0,1
paper tray,0,0,2
image,0,0,1
cost,0,0,10
windows xp,0,0,1
paper jam,0,1,0
money,1,0,1
install,0,0,3
machine,1,2,6
setup,2,1,8
touch screen,2,0,1
device,0,0,3
support,2,0,5
