feature,pos,neg,neutral
tech support,0,0,3
instructions,0,0,7
software,2,3,20
part,1,0,1
manual feed,0,0,5
scan,0,0,1
office,0,0,3
mac,0,1,12
pictures,1,1,0
price point,0,0,1
mode,0,0,1
mac os,1,1,2
output tray,0,0,1
paper,3,3,10
feature,0,0,2
firmware update,0,0,5
price,1,0,4
toner,3,2,15
function,1,0,1
install software,0,0,3
connection,0,0,3
copy,0,0,1
text,0,0,2
paper tray,0,0,1
image,0,0,1
wifi,0,0,1
cost,0,0,3
windows xp,0,1,0
operating system,0,0,2
regular paper,1,0,1
starter toner,0,0,1
card stock,0,1,2
initial setup,0,0,1
wifi connection,0,0,1
toner cartridges,0,1,9
starter cartridges,1,1,1
size,1,0,1
money,0,0,1
install,2,1,20
snow leopard,0,1,3
machine,1,2,3
feed tray,0,0,1
setup,1,1,14
windows vista,2,0,1
support,0,0,5
device,0,0,11
latest drivers,1,0,1
option,0,0,4
